Montana - Election Administrator Contact Information,,,,,,
County,Name,Maining Address,City,Zipcode,Phone,Email
Prairie,Shari L. Robertson,Box 125,Terry,59349,(406) 635-5575,cr@prairiecounty.org
Ravalli,Regina Plettenberg,215 S 4th St Ste C,Hamilton,59840,(406) 375-6550,rplettenberg@rc.mt.gov
Richland,Stephanie Verhasselt,201 W Main,Sidney,59270,(406) 433-1708,sverhasselt@richland.org
Roosevelt,Cheryl Hansen,400 2nd Ave S,Wolf Point,59201,(406) 653-6250,chansen@rooseveltcounty.org
Rosebud,Joan Duffield,Box 47,Forsyth,59327,(406) 346-7318,jduffield@rosebudcountymt.com
Sanders,Nichol Scribner,Box 519,Thompson Falls,59873,(406) 827-6922,nscribner@co.sanders.mt.us
Sheridan,Lindsey Brensdal,100 W Laurel Ave,Plentywood,59254,(406) 765-3403,record_supt@co.sheridan.mt.us
Silver Bow,Sally Hollis,155 W Granite Rm 208,Butte,59701,(406) 497-6342,shollis@bsb.mt.gov
Stillwater,Heidi Stadel,Box 149,Columbus,59019,(406) 322-8000,hstadel@stillwatercountymt.gov
Teton,Paula Jaconetty,Box 610,Choteau,59422,(406) 466-2693,pjaconetty@tetoncountymt.gov
Toole,Treva Nelson,226 1st St S,Shelby,59474,(406) 424-8300,tnelson@toolecountymt.gov
Treasure,Marlee Sears,Box 392,Hysham,59038,(406) 342-5547,msears@treasurecountymt.com
Valley,Taryn Aberg,501 Court Sq Box 2,Glasgow,59230,(406) 228-6226,taberg@valleycountymt.gov
Wheatland,Mary Miller,Box 1903,Harlowton,59036,(406) 632-4891,wccr@itstriangle.com
Wibaux,Jodee Chaffee,PO Box 199,Wibaux,59353,(406) 796-2481,recorder@wibauxcounty.net
Yellowstone,Bret Rutherford,Box 35002,Billings,59107,(406) 256-2740,brutherford@co.yellowstone.mt.go
